,IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ,prawdopodobieństwo
72,WŁADYSŁAW,MĘŻCZYZNA,74287,0.003533203705956711
73,CZESŁAW,MĘŻCZYZNA,68233,0.003245266176700422
74,MAKSYMILIAN,MĘŻCZYZNA,67357,0.003203602272566212
75,SERHII,MĘŻCZYZNA,64060,0.003046791893650126
76,ANDRII,MĘŻCZYZNA,63354,0.003013213450363879
77,EUGENIUSZ,MĘŻCZYZNA,63219,0.003006792643219908
78,MIŁOSZ,MĘŻCZYZNA,63213,0.0030065072740135096
79,BOGUSŁAW,MĘŻCZYZNA,60335,0.002869625178010933
80,IRENEUSZ,MĘŻCZYZNA,60003,0.002853834748590205
81,NIKODEM,MĘŻCZYZNA,58465,0.0027806851086833377
82,VOLODYMYR,MĘŻCZYZNA,57525,0.0027359772663475414
83,STEFAN,MĘŻCZYZNA,57347,0.00272751131322438
84,WITOLD,MĘŻCZYZNA,55895,0.0026584519652758944
85,LEON,MĘŻCZYZNA,54651,0.002599285416482564
86,OLIWIER,MĘŻCZYZNA,54528,0.0025934353477513905
87,SYLWESTER,MĘŻCZYZNA,54066,0.0025714619188586907
88,ZYGMUNT,MĘŻCZYZNA,53181,0.0025293699609148824
89,DMYTRO,MĘŻCZYZNA,51730,0.0024603581745007964
90,ALAN,MĘŻCZYZNA,50635,0.0024082782943330334
91,IVAN,MĘŻCZYZNA,48060,0.0022858073432535913
92,WŁODZIMIERZ,MĘŻCZYZNA,47363,0.0022526569537769424
93,CEZARY,MĘŻCZYZNA,46133,0.002194156266465209
94,ZENON,MĘŻCZYZNA,43283,0.0020586058934258258
95,MAKSYM,MĘŻCZYZNA,43171,0.00205327900157305
96,GABRIEL,MĘŻCZYZNA,41348,0.001966574324362245
97,IGNACY,MĘŻCZYZNA,40964,0.001948310695152728
98,JULIAN,MĘŻCZYZNA,40100,0.0019072175294313153
99,NORBERT,MĘŻCZYZNA,39704,0.001888383161809001
100,MYKOLA,MĘŻCZYZNA,38113,0.0018127127605789457
101,TYMON,MĘŻCZYZNA,36277,0.0017253897834209433
102,TYMOTEUSZ,MĘŻCZYZNA,36028,0.0017135469613553972
103,VITALII,MĘŻCZYZNA,34543,0.0016429180827717189
104,FABIAN,MĘŻCZYZNA,34134,0.0016234654152022074
105,YURII,MĘŻCZYZNA,32988,0.0015689598967800556
106,BŁAŻEJ,MĘŻCZYZNA,32894,0.001564489112546476
107,IHOR,MĘŻCZYZNA,32869,0.0015633000741864813
108,VASYL,MĘŻCZYZNA,32014,0.0015226349622746666
109,MYKHAILO,MĘŻCZYZNA,31723,0.0015087945557643295
110,VLADYSLAV,MĘŻCZYZNA,30497,0.0014504841145901951
111,ARTEM,MĘŻCZYZNA,29783,0.0014165251790287498
112,OLEH,MĘŻCZYZNA,29506,0.0014033506340000096
113,ERYK,MĘŻCZYZNA,29256,0.001391460250400064
114,EMIL,MĘŻCZYZNA,28665,0.0013633513835697919
115,VIKTOR,MĘŻCZYZNA,26399,0.0012555769466198825
116,BOHDAN,MĘŻCZYZNA,24896,0.001184091960417008
117,LECH,MĘŻCZYZNA,23738,0.0011290157035820589
118,BRONISŁAW,MĘŻCZYZNA,22744,0.001081739538388674
119,WACŁAW,MĘŻCZYZNA,22662,0.001077839492567892
120,OLEKSII,MĘŻCZYZNA,22561,0.0010730357775935138
121,NATAN,MĘŻCZYZNA,21987,0.0010457354568480382
122,KSAWERY,MĘŻCZYZNA,21149,0.0010058788910210195
123,DENYS,MĘŻCZYZNA,20652,0.0009822408084243274
124,BORYS,MĘŻCZYZNA,19846,0.0009439062116981019
125,BOLESŁAW,MĘŻCZYZNA,19462,0.000925642582488585
126,RUSLAN,MĘŻCZYZNA,19078,0.0009073789532790681
127,REMIGIUSZ,MĘŻCZYZNA,18770,0.0008927300006839349
128,OLAF,MĘŻCZYZNA,18715,0.0008901141162919468
129,BERNARD,MĘŻCZYZNA,17977,0.0008550137039049066
130,KAJETAN,MĘŻCZYZNA,17526,0.0008335634518906043
131,YAROSLAV,MĘŻCZYZNA,17224,0.0008191998685018697
132,PAVLO,MĘŻCZYZNA,17018,0.0008094021924155143
133,KUBA,MĘŻCZYZNA,16113,0.0007663590037837103
134,EDMUND,MĘŻCZYZNA,15807,0.0007518051742573766
135,VADYM,MĘŻCZYZNA,15319,0.0007285951454702823
136,LUCJAN,MĘŻCZYZNA,15002,0.000713518139065551
137,BRUNO,MĘŻCZYZNA,14893,0.0007083339318159745
138,ALBERT,MĘŻCZYZNA,14725,0.0007003435940368109
139,ANATOLII,MĘŻCZYZNA,14700,0.0006991545556768163
140,TOBIASZ,MĘŻCZYZNA,14664,0.0006974423404384241
141,ALIAKSANDR,MĘŻCZYZNA,14438,0.0006866934336640731
142,ROMUALD,MĘŻCZYZNA,14192,0.0006749932962017264
143,GRACJAN,MĘŻCZYZNA,14154,0.0006731859578945346
144,SEWERYN,MĘŻCZYZNA,13779,0.0006553503824946158
145,SZCZEPAN,MĘŻCZYZNA,13223,0.0006289061693683362
146,YEVHEN,MĘŻCZYZNA,13094,0.0006227707314307642
147,DAVID,MĘŻCZYZNA,12674,0.0006027948869828551
148,ANDREI,MĘŻCZYZNA,12449,0.0005920935417429038
149,ANTON,MĘŻCZYZNA,12382,0.0005889069189381184
150,PETRO,MĘŻCZYZNA,12161,0.0005783958198357662
151,ILLIA,MĘŻCZYZNA,12140,0.0005773970276133708
152,ALEXANDER,MĘŻCZYZNA,12101,0.0005755421277717792
153,KORNEL,MĘŻCZYZNA,11901,0.0005660298208918225
154,OLIVIER,MĘŻCZYZNA,11830,0.0005626529519494379
155,YEVHENII,MĘŻCZYZNA,11575,0.0005505247606774932
156,ALFRED,MĘŻCZYZNA,11501,0.0005470052071319092
157,ERNEST,MĘŻCZYZNA,11269,0.0005359709311511594
158,NAZAR,MĘŻCZYZNA,11264,0.0005357331234791605
159,JOACHIM,MĘŻCZYZNA,11176,0.0005315477084519795
160,VALERII,MĘŻCZYZNA,10874,0.000517184125063245
161,LUDWIK,MĘŻCZYZNA,10805,0.0005139023791896599
162,STANISLAV,MĘŻCZYZNA,10551,0.0005018217494521149
163,LESŁAW,MĘŻCZYZNA,10486,0.000498730249716129
164,ALEX,MĘŻCZYZNA,10443,0.0004966851037369383
165,BOGUMIŁ,MĘŻCZYZNA,10335,0.0004915484580217616
166,SIARHEI,MĘŻCZYZNA,10164,0.0004834154356393987
167,JĘDRZEJ,MĘŻCZYZNA,10108,0.00048075198971301084
168,TARAS,MĘŻCZYZNA,10023,0.00047670925928902923
169,GERARD,MĘŻCZYZNA,9911,0.0004713823674362535
170,DANYLO,MĘŻCZYZNA,9796,0.0004659127909802784
171,FELIKS,MĘŻCZYZNA,9610,0.0004570663455819187
172,DZMITRY,MĘŻCZYZNA,9549,0.00045416509198353193
173,MARK,MĘŻCZYZNA,9032,0.00042957577869884387
174,KOSTIANTYN,MĘŻCZYZNA,9015,0.0004287672326140476
175,LEONARD,MĘŻCZYZNA,8998,0.00042795868652925124
176,VIACHESLAV,MĘŻCZYZNA,8902,0.000423392779226872
177,JULIUSZ,MĘŻCZYZNA,8648,0.00041131214948932705
178,DENIS,MĘŻCZYZNA,8277,0.0003936668202270074
179,ALEKS,MĘŻCZYZNA,8151,0.0003876740668926347
180,KLAUDIUSZ,MĘŻCZYZNA,7739,0.0003680787147199239
181,OLIVER,MĘŻCZYZNA,7730,0.0003676506609103259
182,DORIAN,MĘŻCZYZNA,7729,0.0003676030993759261
183,TEODOR,MĘŻCZYZNA,7646,0.0003636554920207441
184,NIKITA,MĘŻCZYZNA,7489,0.0003561883311199781
185,ALOJZY,MĘŻCZYZNA,7453,0.00035447611588158585
186,KYRYLO,MĘŻCZYZNA,7239,0.0003442979475200322
187,MARTIN,MĘŻCZYZNA,7235,0.00034410770138243305
188,NATANIEL,MĘŻCZYZNA,7113,0.0003383051941856595
189,MILAN,MĘŻCZYZNA,6962,0.0003311234024912922
190,MYKYTA,MĘŻCZYZNA,6899,0.0003281270258241058
191,OLEG,MĘŻCZYZNA,6865,0.0003265099336545132
192,DANIIL,MĘŻCZYZNA,6814,0.00032408429540012427
193,MICHAEL,MĘŻCZYZNA,6792,0.000323037941643329
194,YEHOR,MĘŻCZYZNA,6775,0.0003222293955585327
195,MATVII,MĘŻCZYZNA,6629,0.0003152854115361643
196,GUSTAW,MĘŻCZYZNA,6612,0.000314476865451368
197,KONSTANTY,MĘŻCZYZNA,6609,0.0003143341808481686
198,CYPRIAN,MĘŻCZYZNA,6469,0.00030767556603219896
199,BENEDYKT,MĘŻCZYZNA,6439,0.00030624872000020547
200,PAVEL,MĘŻCZYZNA,6410,0.00030486943550261177
201,STEPAN,MĘŻCZYZNA,6385,0.00030368039714261715
202,VALENTYN,MĘŻCZYZNA,6369,0.0003029194125922206
203,MIESZKO,MĘŻCZYZNA,6360,0.0003024913587826226
204,SAMUEL,MĘŻCZYZNA,6255,0.0002974973976706453
205,MAKSIM,MĘŻCZYZNA,6204,0.0002950717594162564
206,RAJMUND,MĘŻCZYZNA,6174,0.00029364491338426283
207,BRAJAN,MĘŻCZYZNA,5950,0.00028299112967871136
208,ALIAKSEI,MĘŻCZYZNA,5655,0.0002689604770307753
209,SERGII,MĘŻCZYZNA,5565,0.00026467993893479475
210,FLORIAN,MĘŻCZYZNA,5403,0.00025697497036202986
211,TYMOFII,MĘŻCZYZNA,5377,0.00025573837046763545
212,EDUARD,MĘŻCZYZNA,5212,0.0002478907172916712
213,KEVIN,MĘŻCZYZNA,5198,0.0002472248558100742
214,RUDOLF,MĘŻCZYZNA,5169,0.0002458455713124805
215,DAVYD,MĘŻCZYZNA,5108,0.00024294431771409373
216,ROSTYSLAV,MĘŻCZYZNA,5092,0.0002421833331636972
217,IWO,MĘŻCZYZNA,5037,0.0002395674487717091
218,MARCELI,MĘŻCZYZNA,4979,0.00023680887977652168
219,HIERONIM,MĘŻCZYZNA,4800,0.00022829536511896042
220,ARIEL,MĘŻCZYZNA,4681,0.00022263554252538621
221,GIORGI,MĘŻCZYZNA,4629,0.00022016234273659747
222,BENIAMIN,MĘŻCZYZNA,4611,0.00021930623511740136
223,KORDIAN,MĘŻCZYZNA,4610,0.00021925867358300158
224,FRYDERYK,MĘŻCZYZNA,4586,0.0002181171967574068
225,WINCENTY,MĘŻCZYZNA,4566,0.0002171659660694111
226,LEONID,MĘŻCZYZNA,4519,0.0002149305739526213
227,ERWIN,MĘŻCZYZNA,4459,0.00021207688188863428
228,JEREMI,MĘŻCZYZNA,4444,0.00021136345887263754
229,ALEKSY,MĘŻCZYZNA,4436,0.00021098296659743926
230,YAUHENI,MĘŻCZYZNA,4386,0.00020860488987745009
231,ANDRIY,MĘŻCZYZNA,4346,0.00020670242850145875
232,NAZARII,MĘŻCZYZNA,4300,0.00020451459791906874
233,ZYGFRYD,MĘŻCZYZNA,4249,0.00020208895966467976
234,VICTOR,MĘŻCZYZNA,4217,0.0002005669905638867
235,MAXIMILIAN,MĘŻCZYZNA,4135,0.00019666694474310446
236,ROLAND,MĘŻCZYZNA,4131,0.00019647669860550532
237,YURY,MĘŻCZYZNA,4089,0.00019447911416071442
238,SERGIUSZ,MĘŻCZYZNA,4048,0.0001925290912503233
239,TYMUR,MĘŻCZYZNA,4029,0.00019162542209672743
240,VITALI,MĘŻCZYZNA,4014,0.00019091199908073065
241,ULADZIMIR,MĘŻCZYZNA,3989,0.0001897229607207361
242,LEO,MĘŻCZYZNA,3966,0.00018862904542954107
243,PATRICK,MĘŻCZYZNA,3960,0.00018834367622314236
244,THOMAS,MĘŻCZYZNA,3827,0.00018201799214797115
245,MIKHAIL,MĘŻCZYZNA,3799,0.00018068626918477722
246,SVIATOSLAV,MĘŻCZYZNA,3768,0.00017921186161838393
247,OLGIERD,MĘŻCZYZNA,3730,0.00017740452331119216
248,AMADEUSZ,MĘŻCZYZNA,3711,0.00017650085415759628
249,OSCAR,MĘŻCZYZNA,3515,0.00016717879341523873
250,IHAR,MĘŻCZYZNA,3388,0.00016113847854646625
251,WALENTY,MĘŻCZYZNA,3383,0.00016090067087446731
252,NICOLAS,MĘŻCZYZNA,3357,0.00015966407098007296
253,EMILIAN,MĘŻCZYZNA,3337,0.00015871284029207727
254,ULADZISLAU,MĘŻCZYZNA,3258,0.0001549554790744944
255,KEWIN,MĘŻCZYZNA,3231,0.00015367131764570024
256,BRUNON,MĘŻCZYZNA,3195,0.00015195910240730804
257,ALEH,MĘŻCZYZNA,3165,0.00015053225637531455
258,AUGUSTYN,MĘŻCZYZNA,3129,0.00014882004113692232
259,OLIWER,MĘŻCZYZNA,3121,0.00014843954886172408
260,HENNADII,MĘŻCZYZNA,3055,0.00014530048759133835
261,MAURYCY,MĘŻCZYZNA,3045,0.00014482487224734054
262,PETER,MĘŻCZYZNA,3021,0.00014368339542174572
263,VIKTAR,MĘŻCZYZNA,2998,0.0001425894801305507
264,LEOPOLD,MĘŻCZYZNA,2979,0.00014168581097695482
265,DZIANIS,MĘŻCZYZNA,2969,0.00014121019563295698
266,ARNOLD,MĘŻCZYZNA,2904,0.00013811869589697105
267,MIKALAI,MĘŻCZYZNA,2891,0.00013750039594977387
268,MAKAR,MĘŻCZYZNA,2833,0.00013474182695458645
269,YURIY,MĘŻCZYZNA,2825,0.00013436133467938818
270,ADOLF,MĘŻCZYZNA,2776,0.0001320308194937988
271,HERBERT,MĘŻCZYZNA,2723,0.00012951005817061025
272,HRYHORII,MĘŻCZYZNA,2708,0.0001287966351546135
273,IURII,MĘŻCZYZNA,2700,0.00012841614287941523
274,OKTAWIAN,MĘŻCZYZNA,2602,0.00012375511250823648
275,ZAKHAR,MĘŻCZYZNA,2592,0.00012327949716423863
276,JEREMIASZ,MĘŻCZYZNA,2587,0.00012304168949223973
277,ALBIN,MĘŻCZYZNA,2577,0.0001225660741482419
278,WILHELM,MĘŻCZYZNA,2557,0.00012161484346024622
279,ANATOL,MĘŻCZYZNA,2547,0.00012113922811624838
280,NATHAN,MĘŻCZYZNA,2535,0.00012056848970345098
281,BENJAMIN,MĘŻCZYZNA,2519,0.00011980750515305445
282,CHRISTIAN,MĘŻCZYZNA,2504,0.00011909408213705769
283,MYROSLAV,MĘŻCZYZNA,2452,0.00011662088234826896
284,ARTSIOM,MĘŻCZYZNA,2436,0.00011585989779787243
285,JACOB,MĘŻCZYZNA,2418,0.00011500379017867631
286,ARSEN,MĘŻCZYZNA,2404,0.00011433792869707935
287,VLADIMIR,MĘŻCZYZNA,2397,0.00011400499795628086
288,RAMAN,MĘŻCZYZNA,2385,0.00011343425954348346
289,ALEKSANDR,MĘŻCZYZNA,2378,0.00011310132880268498
290,EMANUEL,MĘŻCZYZNA,2373,0.00011286352113068607
291,ALFONS,MĘŻCZYZNA,2360,0.00011224522118348888
292,KORNELIUSZ,MĘŻCZYZNA,2325,0.00011058056747949646
293,JONASZ,MĘŻCZYZNA,2307,0.00010972445986030036
294,MAX,MĘŻCZYZNA,2291,0.00010896347530990383
295,WALTER,MĘŻCZYZNA,2258,0.00010739394467471097
296,HUGO,MĘŻCZYZNA,2255,0.00010725126007151162
297,VADZIM,MĘŻCZYZNA,2251,0.00010706101393391249
298,HELMUT,MĘŻCZYZNA,2239,0.00010649027552111508
299,ILYA,MĘŻCZYZNA,2233,0.00010620490631471638
300,MANFRED,MĘŻCZYZNA,2207,0.00010496830642032202
301,EDWIN,MĘŻCZYZNA,2204,0.00010482562181712267
302,MIKITA,MĘŻCZYZNA,2195,0.00010439756800752461
303,MIRON,MĘŻCZYZNA,2189,0.00010411219880112592
304,JONATAN,MĘŻCZYZNA,2189,0.00010411219880112592
305,ION,MĘŻCZYZNA,2168,0.00010311340657873047
306,MARKO,MĘŻCZYZNA,2149,0.00010220973742513458
307,XAVIER,MĘŻCZYZNA,2147,0.00010211461435633502
308,KASPER,MĘŻCZYZNA,2128,0.00010121094520273913
309,KRYSPIN,MĘŻCZYZNA,2117,0.0001006877683243415
310,KIRIL,MĘŻCZYZNA,2113,0.00010049752218674237
311,TIMUR,MĘŻCZYZNA,2109,0.00010030727604914323
312,PAUL,MĘŻCZYZNA,2100,9.987922223954519e-05
313,NIKOLAS,MĘŻCZYZNA,2088,9.93084838267478e-05
314,DANYIL,MĘŻCZYZNA,2082,9.902311462034909e-05
315,VLADISLAV,MĘŻCZYZNA,2080,9.892799155154952e-05
316,ZIEMOWIT,MĘŻCZYZNA,2049,9.745358398515623e-05
317,HLIB,MĘŻCZYZNA,2047,9.735846091635668e-05
318,GINTER,MĘŻCZYZNA,2042,9.712065324435775e-05
319,VALERY,MĘŻCZYZNA,2025,9.631210715956144e-05
320,ARON,MĘŻCZYZNA,2019,9.602673795316273e-05
321,OREST,MĘŻCZYZNA,2011,9.564624567796446e-05
322,MATTHEW,MĘŻCZYZNA,2011,9.564624567796446e-05
323,MYKHAYLO,MĘŻCZYZNA,2008,9.550356107476511e-05
324,LEV,MĘŻCZYZNA,1997,9.49803841963675e-05
325,WERNER,MĘŻCZYZNA,1994,9.483769959316815e-05
326,TEOFIL,MĘŻCZYZNA,1958,9.312548435477595e-05
327,TYTUS,MĘŻCZYZNA,1957,9.307792282037616e-05
328,VITALIY,MĘŻCZYZNA,1930,9.1793761391582e-05
329,LIUBOMYR,MĘŻCZYZNA,1924,9.15083921851833e-05
330,YAN,MĘŻCZYZNA,1902,9.046203842838808e-05
331,KIRYL,MĘŻCZYZNA,1855,8.822664631159825e-05
332,PHILIP,MĘŻCZYZNA,1853,8.813152324279869e-05
333,ANDREAS,MĘŻCZYZNA,1836,8.732297715800237e-05
334,ALEXANDR,MĘŻCZYZNA,1833,8.718029255480302e-05
335,CHRISTOPHER,MĘŻCZYZNA,1821,8.660955414200561e-05
336,ANTHONY,MĘŻCZYZNA,1820,8.656199260760584e-05
337,JOHN,MĘŻCZYZNA,1804,8.580100805720929e-05
338,SERGHEI,MĘŻCZYZNA,1801,8.565832345400994e-05
339,ALI,MĘŻCZYZNA,1789,8.508758504121254e-05
340,KSAWIER,MĘŻCZYZNA,1770,8.418391588761666e-05
341,SERHIY,MĘŻCZYZNA,1742,8.285219292442272e-05
342,WALERIAN,MĘŻCZYZNA,1714,8.152046996122879e-05
343,PATRYCJUSZ,MĘŻCZYZNA,1712,8.142534689242922e-05
344,MOHAMED,MĘŻCZYZNA,1689,8.03314316012342e-05
345,LECHOSŁAW,MĘŻCZYZNA,1688,8.028387006683442e-05
346,SERGIY,MĘŻCZYZNA,1688,8.028387006683442e-05
347,MARCO,MĘŻCZYZNA,1664,7.914239324123962e-05
348,HEORHII,MĘŻCZYZNA,1660,7.895214710364048e-05
349,ARSENII,MĘŻCZYZNA,1639,7.795335488124503e-05
350,MAKS,MĘŻCZYZNA,1624,7.723993186524828e-05
351,MAXIM,MĘŻCZYZNA,1623,7.71923703308485e-05
352,RAFAEL,MĘŻCZYZNA,1606,7.638382424605218e-05
353,KLEMENS,MĘŻCZYZNA,1594,7.581308583325478e-05
354,DAVIT,MĘŻCZYZNA,1594,7.581308583325478e-05
355,OSTAP,MĘŻCZYZNA,1590,7.562283969565565e-05
356,FEDIR,MĘŻCZYZNA,1589,7.557527816125586e-05
357,SIMON,MĘŻCZYZNA,1577,7.500453974845845e-05
358,VINCENT,MĘŻCZYZNA,1566,7.448136287006084e-05
359,ELIASZ,MĘŻCZYZNA,1525,7.253133995966972e-05
360,JONATHAN,MĘŻCZYZNA,1492,7.096180932447686e-05
361,ANATOLI,MĘŻCZYZNA,1483,7.053375551487882e-05
362,MIHAIL,MĘŻCZYZNA,1466,6.97252094300825e-05
363,DAMIR,MĘŻCZYZNA,1445,6.872641720768705e-05
364,LONGIN,MĘŻCZYZNA,1437,6.834592493248878e-05
365,NICHOLAS,MĘŻCZYZNA,1436,6.8298363398089e-05
366,VADIM,MĘŻCZYZNA,1435,6.825080186368921e-05
367,RICHARD,MĘŻCZYZNA,1428,6.791787112289073e-05
368,BRIAN,MĘŻCZYZNA,1424,6.77276249852916e-05
369,KASJAN,MĘŻCZYZNA,1419,6.748981731329268e-05
370,FERDYNAND,MĘŻCZYZNA,1410,6.706176350369462e-05
371,WAWRZYNIEC,MĘŻCZYZNA,1394,6.630077895329809e-05
372,HORST,MĘŻCZYZNA,1391,6.615809435009874e-05
373,JACENTY,MĘŻCZYZNA,1383,6.577760207490048e-05
374,ANTONIO,MĘŻCZYZNA,1382,6.57300405405007e-05
375,ERIK,MĘŻCZYZNA,1368,6.506417905890373e-05
376,VIACHASLAU,MĘŻCZYZNA,1368,6.506417905890373e-05
377,WILLIAM,MĘŻCZYZNA,1364,6.48739329213046e-05
378,MYRON,MĘŻCZYZNA,1356,6.449344064610632e-05
379,ROCH,MĘŻCZYZNA,1342,6.382757916450936e-05
380,DANIL,MĘŻCZYZNA,1312,6.240073313251585e-05
381,KOSMA,MĘŻCZYZNA,1309,6.22580485293165e-05
382,LEONARDO,MĘŻCZYZNA,1294,6.154462551331975e-05
383,JAROMIR,MĘŻCZYZNA,1281,6.092632556612256e-05
384,IRAKLI,MĘŻCZYZNA,1276,6.068851789412365e-05
385,VASILI,MĘŻCZYZNA,1275,6.0640956359723865e-05
386,DEMIAN,MĘŻCZYZNA,1265,6.016534101572603e-05
387,LUCAS,MĘŻCZYZNA,1252,5.9547041068528845e-05
388,KYRYL,MĘŻCZYZNA,1250,5.9451917999729276e-05
389,LUKAS,MĘŻCZYZNA,1249,5.94043564653295e-05
390,YAHOR,MĘŻCZYZNA,1235,5.873849498373253e-05
391,DIONIZY,MĘŻCZYZNA,1234,5.8690933449332745e-05
392,SERGEI,MĘŻCZYZNA,1232,5.8595810380533176e-05
393,DMITRII,MĘŻCZYZNA,1228,5.840556424293405e-05
394,ALEXANDRU,MĘŻCZYZNA,1225,5.8262879639734695e-05
395,ANDREW,MĘŻCZYZNA,1205,5.7311648951739027e-05
396,JAMES,MĘŻCZYZNA,1205,5.7311648951739027e-05
397,ERIC,MĘŻCZYZNA,1203,5.721652588293946e-05
398,DENNIS,MĘŻCZYZNA,1190,5.659822593574227e-05
399,KANSTANTSIN,MĘŻCZYZNA,1186,5.640797979814314e-05
400,LUKA,MĘŻCZYZNA,1185,5.636041826374336e-05
401,MARKUS,MĘŻCZYZNA,1179,5.6075049057344654e-05
402,RADOMIR,MĘŻCZYZNA,1173,5.5789679850945956e-05
403,AARON,MĘŻCZYZNA,1168,5.5551872178947036e-05
404,ŁUCJAN,MĘŻCZYZNA,1165,5.540918757574769e-05
405,IZYDOR,MĘŻCZYZNA,1158,5.50762568349492e-05
406,GERHARD,MĘŻCZYZNA,1153,5.483844916295029e-05
407,ELIGIUSZ,MĘŻCZYZNA,1152,5.4790887628550504e-05
408,AHMED,MĘŻCZYZNA,1152,5.4790887628550504e-05
409,STANISLAU,MĘŻCZYZNA,1134,5.3934780009354404e-05
410,SEMEN,MĘŻCZYZNA,1125,5.3506726199756354e-05
