first_name,gender,amount,prob
OLEKSANDR,MĘŻCZYZNA,104507,0.0049903337263893
RADOSŁAW,MĘŻCZYZNA,103891,0.0049609189926828
BOGDAN,MĘŻCZYZNA,96695,0.004617301421658
ZDZISŁAW,MĘŻCZYZNA,95955,0.0045819655402574
KONRAD,MĘŻCZYZNA,90692,0.0043306510215937
IGOR,MĘŻCZYZNA,90065,0.0043007110247854
HUBERT,MĘŻCZYZNA,88427,0.0042224945737934
EDWARD,MĘŻCZYZNA,82405,0.0039349369010985
MIECZYSŁAW,MĘŻCZYZNA,78995,0.0037721053395095
OSKAR,MĘŻCZYZNA,75372,0.00359910277422
MARCEL,MĘŻCZYZNA,74951,0.0035789995227745
WŁADYSŁAW,MĘŻCZYZNA,74287,0.0035472927318962
CZESŁAW,MĘŻCZYZNA,68233,0.0032582070210868
MAKSYMILIAN,MĘŻCZYZNA,67357,0.0032163769776991
SERHII,MĘŻCZYZNA,64060,0.0030589413007023
ANDRII,MĘŻCZYZNA,63354,0.0030252289597985
EUGENIUSZ,MĘŻCZYZNA,63219,0.0030187825490025
MIŁOSZ,MĘŻCZYZNA,63213,0.003018496041856
BOGUSŁAW,MĘŻCZYZNA,60335,0.0028810681139224
IRENEUSZ,MĘŻCZYZNA,60003,0.0028652147184833
NIKODEM,MĘŻCZYZNA,58465,0.0027917733865994
VOLODYMYR,MĘŻCZYZNA,57525,0.0027468872669825
STEFAN,MĘŻCZYZNA,57347,0.0027383875549699
WITOLD,MĘŻCZYZNA,55895,0.0026690528255191
LEON,MĘŻCZYZNA,54651,0.0026096503438133
OLIWIER,MĘŻCZYZNA,54528,0.0026037769473102
SYLWESTER,MĘŻCZYZNA,54066,0.0025817158970304
ZYGMUNT,MĘŻCZYZNA,53181,0.002539456092923
DMYTRO,MĘŻCZYZNA,51730,0.0024701691146633
ALAN,MĘŻCZYZNA,50635,0.0024178815604287
IVAN,MĘŻCZYZNA,48060,0.0022949222433929
WŁODZIMIERZ,MĘŻCZYZNA,47363,0.0022616396632089
CEZARY,MĘŻCZYZNA,46133,0.0022029056981782
ZENON,MĘŻCZYZNA,43283,0.002066814803595
MAKSYM,MĘŻCZYZNA,43171,0.0020614666701938
GABRIEL,MĘŻCZYZNA,41348,0.0019744162488517
IGNACY,MĘŻCZYZNA,40964,0.0019560797914762
JULIAN,MĘŻCZYZNA,40100,0.0019148227623815
NORBERT,MĘŻCZYZNA,39704,0.0018959132907131
MYKOLA,MĘŻCZYZNA,38113,0.0018199411457019
TYMON,MĘŻCZYZNA,36277,0.0017322699588757
TYMOTEUSZ,MĘŻCZYZNA,36028,0.0017203799122963
VITALII,MĘŻCZYZNA,34543,0.0016494693935398
FABIAN,MĘŻCZYZNA,34134,0.0016299391563873
YURII,MĘŻCZYZNA,32988,0.0015752162914075
BŁAŻEJ,MĘŻCZYZNA,32894,0.0015707276794458
IHOR,MĘŻCZYZNA,32869,0.0015695338996688
VASYL,MĘŻCZYZNA,32014,0.0015287066312938
MYKHAILO,MĘŻCZYZNA,31723,0.001514811034689
VLADYSLAV,MĘŻCZYZNA,30497,0.0014562680744227
ARTEM,MĘŻCZYZNA,29783,0.0014221737239902
OLEH,MĘŻCZYZNA,29506,0.0014089466440606
ERYK,MĘŻCZYZNA,29256,0.0013970088462901
EMIL,MĘŻCZYZNA,28665,0.0013687878923607
VIKTOR,MĘŻCZYZNA,26399,0.0012605836933693
BOHDAN,MĘŻCZYZNA,24896,0.0011888136531733
LECH,MĘŻCZYZNA,23738,0.0011335177739005
BRONISŁAW,MĘŻCZYZNA,22744,0.0010860530899652
WACŁAW,MĘŻCZYZNA,22662,0.0010821374922965
OLEKSII,MĘŻCZYZNA,22561,0.0010773146219972
NATAN,MĘŻCZYZNA,21987,0.0010499054383163
KSAWERY,MĘŻCZYZNA,21149,0.0010098899401897
DENYS,MĘŻCZYZNA,20652,0.000986157598222
BORYS,MĘŻCZYZNA,19846,0.00094767013821
BOLESŁAW,MĘŻCZYZNA,19462,0.0009293336808346
RUSLAN,MĘŻCZYZNA,19078,0.0009109972234592
REMIGIUSZ,MĘŻCZYZNA,18770,0.000896289856606
OLAF,MĘŻCZYZNA,18715,0.0008936635410965
BERNARD,MĘŻCZYZNA,17977,0.0008584231620781
KAJETAN,MĘŻCZYZNA,17526,0.0008368873749002
YAROSLAV,MĘŻCZYZNA,17224,0.0008224665151935
PAVLO,MĘŻCZYZNA,17018,0.0008126297698306
KUBA,MĘŻCZYZNA,16113,0.0007694149419016
EDMUND,MĘŻCZYZNA,15807,0.0007548030774305
VADYM,MĘŻCZYZNA,15319,0.0007315004961826
LUCJAN,MĘŻCZYZNA,15002,0.0007163633686096
BRUNO,MĘŻCZYZNA,14893,0.0007111584887817
ALBERT,MĘŻCZYZNA,14725,0.00070313628868
ANATOLII,MĘŻCZYZNA,14700,0.0007019425089029
TOBIASZ,MĘŻCZYZNA,14664,0.000700223466024
ALIAKSANDR,MĘŻCZYZNA,14438,0.0006894316968395
ROMUALD,MĘŻCZYZNA,14192,0.0006776849038333
GRACJAN,MĘŻCZYZNA,14154,0.0006758703585722
SEWERYN,MĘŻCZYZNA,13779,0.0006579636619166
SZCZEPAN,MĘŻCZYZNA,13223,0.0006314139996751
YEVHEN,MĘŻCZYZNA,13094,0.0006252540960255
DAVID,MĘŻCZYZNA,12674,0.0006051985957711
ANDREI,MĘŻCZYZNA,12449,0.0005944545777777
ANTON,MĘŻCZYZNA,12382,0.0005912552479752
PETRO,MĘŻCZYZNA,12161,0.0005807022347461
ILLIA,MĘŻCZYZNA,12140,0.0005796994597334
ALEXANDER,MĘŻCZYZNA,12101,0.0005778371632812
KORNEL,MĘŻCZYZNA,11901,0.0005682869250649
OLIVIER,MĘŻCZYZNA,11830,0.0005648965904981
YEVHENII,MĘŻCZYZNA,11575,0.0005527200367722
ALFRED,MĘŻCZYZNA,11501,0.0005491864486321
ERNEST,MĘŻCZYZNA,11269,0.0005381081723011
NAZAR,MĘŻCZYZNA,11264,0.0005378694163457
JOACHIM,MĘŻCZYZNA,11176,0.0005336673115305
VALERII,MĘŻCZYZNA,10874,0.0005192464518238
LUDWIK,MĘŻCZYZNA,10805,0.0005159516196392
STANISLAV,MĘŻCZYZNA,10551,0.0005038228171044
LESŁAW,MĘŻCZYZNA,10486,0.0005007189896841
ALEX,MĘŻCZYZNA,10443,0.0004986656884676
BOGUMIŁ,MĘŻCZYZNA,10335,0.0004935085598307
SIARHEI,MĘŻCZYZNA,10164,0.0004853431061557
JĘDRZEJ,MĘŻCZYZNA,10108,0.0004826690394551
TARAS,MĘŻCZYZNA,10023,0.0004786101882132
GERARD,MĘŻCZYZNA,9911,0.000473262054812
DANYLO,MĘŻCZYZNA,9796,0.0004677706678376
FELIKS,MĘŻCZYZNA,9610,0.0004588889462964
DZMITRY,MĘŻCZYZNA,9549,0.0004559761236404
MARK,MĘŻCZYZNA,9032,0.0004312887578511
KOSTIANTYN,MĘŻCZYZNA,9015,0.0004304769876027
LEONARD,MĘŻCZYZNA,8998,0.0004296652173543
VIACHESLAV,MĘŻCZYZNA,8902,0.0004250811030104
JULIUSZ,MĘŻCZYZNA,8648,0.0004129523004757
DENIS,MĘŻCZYZNA,8277,0.0003952366085843
ALEKS,MĘŻCZYZNA,8151,0.000389219958508
KLAUDIUSZ,MĘŻCZYZNA,7739,0.0003695464677823
OLIVER,MĘŻCZYZNA,7730,0.0003691167070625
DORIAN,MĘŻCZYZNA,7729,0.0003690689558715
TEODOR,MĘŻCZYZNA,7646,0.0003651056070117
NIKITA,MĘŻCZYZNA,7489,0.0003576086700118
ALOJZY,MĘŻCZYZNA,7453,0.0003558896271329
KYRYLO,MĘŻCZYZNA,7239,0.0003456708722414
MARTIN,MĘŻCZYZNA,7235,0.000345479867477
NATANIEL,MĘŻCZYZNA,7113,0.000339654222165
MILAN,MĘŻCZYZNA,6962,0.0003324437923117
MYKYTA,MĘŻCZYZNA,6899,0.0003294354672735
OLEG,MĘŻCZYZNA,6865,0.0003278119267767
DANIIL,MĘŻCZYZNA,6814,0.0003253766160316
MICHAEL,MĘŻCZYZNA,6792,0.0003243260898278
YEHOR,MĘŻCZYZNA,6775,0.0003235143195794
MATVII,MĘŻCZYZNA,6629,0.0003165426456814
GUSTAW,MĘŻCZYZNA,6612,0.000315730875433
KONSTANTY,MĘŻCZYZNA,6609,0.0003155876218598
CYPRIAN,MĘŻCZYZNA,6469,0.0003089024551083
BENEDYKT,MĘŻCZYZNA,6439,0.0003074699193759
PAVEL,MĘŻCZYZNA,6410,0.0003060851348345
STEPAN,MĘŻCZYZNA,6385,0.0003048913550575
VALENTYN,MĘŻCZYZNA,6369,0.0003041273360002
MIESZKO,MĘŻCZYZNA,6360,0.0003036975752804
SAMUEL,MĘŻCZYZNA,6255,0.0002986837002168
MAKSIM,MĘŻCZYZNA,6204,0.0002962483894717
RAJMUND,MĘŻCZYZNA,6174,0.0002948158537392
BRAJAN,MĘŻCZYZNA,5950,0.0002841195869369
ALIAKSEI,MĘŻCZYZNA,5655,0.0002700329855677
SERGII,MĘŻCZYZNA,5565,0.0002657353783704
FLORIAN,MĘŻCZYZNA,5403,0.0002579996854151
TYMOFII,MĘŻCZYZNA,5377,0.000256758154447
EDUARD,MĘŻCZYZNA,5212,0.0002488792079185
KEVIN,MĘŻCZYZNA,5198,0.0002482106912433
RUDOLF,MĘŻCZYZNA,5169,0.000246825906702
DAVYD,MĘŻCZYZNA,5108,0.000243913084046
ROSTYSLAV,MĘŻCZYZNA,5092,0.0002431490649887
IWO,MĘŻCZYZNA,5037,0.0002405227494792
MARCELI,MĘŻCZYZNA,4979,0.0002377531803964
HIERONIM,MĘŻCZYZNA,4800,0.0002292057171928
ARIEL,MĘŻCZYZNA,4681,0.000223523325454
GIORGI,MĘŻCZYZNA,4629,0.0002210402635178
BENIAMIN,MĘŻCZYZNA,4611,0.0002201807420783
KORDIAN,MĘŻCZYZNA,4610,0.0002201329908872
FRYDERYK,MĘŻCZYZNA,4586,0.0002189869623012
WINCENTY,MĘŻCZYZNA,4566,0.0002180319384796
LEONID,MĘŻCZYZNA,4519,0.0002157876324988
ERWIN,MĘŻCZYZNA,4459,0.0002129225610339
JEREMI,MĘŻCZYZNA,4444,0.0002122062931676
ALEKSY,MĘŻCZYZNA,4436,0.000211824283639
YAUHENI,MĘŻCZYZNA,4386,0.0002094367240849
ANDRIY,MĘŻCZYZNA,4346,0.0002075266764416
NAZARII,MĘŻCZYZNA,4300,0.0002053301216518
ZYGFRYD,MĘŻCZYZNA,4249,0.0002028948109067
VICTOR,MĘŻCZYZNA,4217,0.000201366772792
MAXIMILIAN,MĘŻCZYZNA,4135,0.0001974511751233
ROLAND,MĘŻCZYZNA,4131,0.000197260170359
YURY,MĘŻCZYZNA,4089,0.0001952546203336
SERGIUSZ,MĘŻCZYZNA,4048,0.0001932968214992
TYMUR,MĘŻCZYZNA,4029,0.0001923895488687
VITALI,MĘŻCZYZNA,4014,0.0001916732810024
ULADZIMIR,MĘŻCZYZNA,3989,0.0001904795012254
LEO,MĘŻCZYZNA,3966,0.0001893812238305
PATRICK,MĘŻCZYZNA,3960,0.000189094716684
THOMAS,MĘŻCZYZNA,3827,0.0001827438082701
MIKHAIL,MĘŻCZYZNA,3799,0.0001814067749198
SVIATOSLAV,MĘŻCZYZNA,3768,0.0001799264879963
OLGIERD,MĘŻCZYZNA,3730,0.0001781119427352
AMADEUSZ,MĘŻCZYZNA,3711,0.0001772046701046
OSCAR,MĘŻCZYZNA,3515,0.0001678454366526
IHAR,MĘŻCZYZNA,3388,0.0001617810353852
WALENTY,MĘŻCZYZNA,3383,0.0001615422794298
NICOLAS,MĘŻCZYZNA,3357,0.0001603007484617
EMILIAN,MĘŻCZYZNA,3337,0.00015934572464
ULADZISLAU,MĘŻCZYZNA,3258,0.0001555733805446
KEWIN,MĘŻCZYZNA,3231,0.0001542840983854
BRUNON,MĘŻCZYZNA,3195,0.0001525650555064
ALEH,MĘŻCZYZNA,3165,0.000151132519774
AUGUSTYN,MĘŻCZYZNA,3129,0.000149413476895
OLIWER,MĘŻCZYZNA,3121,0.0001490314673664
HENNADII,MĘŻCZYZNA,3055,0.000145879888755
MAURYCY,MĘŻCZYZNA,3045,0.0001454023768441
PETER,MĘŻCZYZNA,3021,0.0001442563482582
VIKTAR,MĘŻCZYZNA,2998,0.0001431580708633
LEOPOLD,MĘŻCZYZNA,2979,0.0001422507982327
DZIANIS,MĘŻCZYZNA,2969,0.0001417732863219
ARNOLD,MĘŻCZYZNA,2904,0.0001386694589016
MIKALAI,MĘŻCZYZNA,2891,0.0001380486934175
MAKAR,MĘŻCZYZNA,2833,0.0001352791243348
YURIY,MĘŻCZYZNA,2825,0.0001348971148061
ADOLF,MĘŻCZYZNA,2776,0.0001325573064431
HERBERT,MĘŻCZYZNA,2723,0.0001300264933158
HRYHORII,MĘŻCZYZNA,2708,0.0001293102254496
IURII,MĘŻCZYZNA,2700,0.0001289282159209
OKTAWIAN,MĘŻCZYZNA,2602,0.0001242485991949
ZAKHAR,MĘŻCZYZNA,2592,0.0001237710872841
JEREMIASZ,MĘŻCZYZNA,2587,0.0001235323313287
ALBIN,MĘŻCZYZNA,2577,0.0001230548194178
WILHELM,MĘŻCZYZNA,2557,0.0001220997955962
ANATOL,MĘŻCZYZNA,2547,0.0001216222836854
NATHAN,MĘŻCZYZNA,2535,0.0001210492693924
BENJAMIN,MĘŻCZYZNA,2519,0.0001202852503351
CHRISTIAN,MĘŻCZYZNA,2504,0.0001195689824689
MYROSLAV,MĘŻCZYZNA,2452,0.0001170859205326
ARTSIOM,MĘŻCZYZNA,2436,0.0001163219014753
JACOB,MĘŻCZYZNA,2418,0.0001154623800358
ARSEN,MĘŻCZYZNA,2404,0.0001147938633607
VLADIMIR,MĘŻCZYZNA,2397,0.0001144596050231
RAMAN,MĘŻCZYZNA,2385,0.0001138865907301
ALEKSANDR,MĘŻCZYZNA,2378,0.0001135523323926
EMANUEL,MĘŻCZYZNA,2373,0.0001133135764371
ALFONS,MĘŻCZYZNA,2360,0.0001126928109531
KORNELIUSZ,MĘŻCZYZNA,2325,0.0001110215192652
JONASZ,MĘŻCZYZNA,2307,0.0001101619978257
MAX,MĘŻCZYZNA,2291,0.0001093979787684
WALTER,MĘŻCZYZNA,2258,0.0001078221894627
HUGO,MĘŻCZYZNA,2255,0.0001076789358895
VADZIM,MĘŻCZYZNA,2251,0.0001074879311252
HELMUT,MĘŻCZYZNA,2239,0.0001069149168322
ILYA,MĘŻCZYZNA,2233,0.0001066284096857
MANFRED,MĘŻCZYZNA,2207,0.0001053868787176
EDWIN,MĘŻCZYZNA,2204,0.0001052436251443
MIKITA,MĘŻCZYZNA,2195,0.0001048138644246
MIRON,MĘŻCZYZNA,2189,0.0001045273572781
JONATAN,MĘŻCZYZNA,2189,0.0001045273572781
ION,MĘŻCZYZNA,2168,0.0001035245822654
MARKO,MĘŻCZYZNA,2149,0.0001026173096348
XAVIER,MĘŻCZYZNA,2147,0.0001025218072526
KASPER,MĘŻCZYZNA,2128,0.0001016145346221
KRYSPIN,MĘŻCZYZNA,2117,0.0001010892715202
KIRIL,MĘŻCZYZNA,2113,0.0001008982667559
TIMUR,MĘŻCZYZNA,2109,0.0001007072619915
PAUL,MĘŻCZYZNA,2100,0.0001002775012718
NIKOLAS,MĘŻCZYZNA,2088,9.970448697887096e-05
DANYIL,MĘŻCZYZNA,2082,9.941797983237996e-05
VLADISLAV,MĘŻCZYZNA,2080,9.932247745021628e-05
ZIEMOWIT,MĘŻCZYZNA,2049,9.78421905266794e-05
HLIB,MĘŻCZYZNA,2047,9.774668814451572e-05
GINTER,MĘŻCZYZNA,2042,9.750793218910656e-05
VALERY,MĘŻCZYZNA,2025,9.669616194071536e-05
ARON,MĘŻCZYZNA,2019,9.640965479422435e-05
OREST,MĘŻCZYZNA,2011,9.602764526556968e-05
MATTHEW,MĘŻCZYZNA,2011,9.602764526556968e-05
MYKHAYLO,MĘŻCZYZNA,2008,9.588439169232418e-05
LEV,MĘŻCZYZNA,1997,9.5359128590424e-05
WERNER,MĘŻCZYZNA,1994,9.52158750171785e-05
TEOFIL,MĘŻCZYZNA,1958,9.349683213823244e-05
TYTUS,MĘŻCZYZNA,1957,9.34490809471506e-05
VITALIY,MĘŻCZYZNA,1930,9.215979878794106e-05
LIUBOMYR,MĘŻCZYZNA,1924,9.187329164145006e-05
YAN,MĘŻCZYZNA,1902,9.08227654376497e-05
KIRYL,MĘŻCZYZNA,1855,8.857845945680346e-05
PHILIP,MĘŻCZYZNA,1853,8.84829570746398e-05
ANDREAS,MĘŻCZYZNA,1836,8.76711868262486e-05
ALEXANDR,MĘŻCZYZNA,1833,8.752793325300309e-05
CHRISTOPHER,MĘŻCZYZNA,1821,8.695491896002108e-05
ANTHONY,MĘŻCZYZNA,1820,8.690716776893924e-05
JOHN,MĘŻCZYZNA,1804,8.614314871162989e-05
SERGHEI,MĘŻCZYZNA,1801,8.599989513838438e-05
ALI,MĘŻCZYZNA,1789,8.542688084540237e-05
KSAWIER,MĘŻCZYZNA,1770,8.451960821484751e-05
SERHIY,MĘŻCZYZNA,1742,8.318257486455614e-05
WALERIAN,MĘŻCZYZNA,1714,8.184554151426476e-05
PATRYCJUSZ,MĘŻCZYZNA,1712,8.175003913210109e-05
MOHAMED,MĘŻCZYZNA,1689,8.065176173721889e-05
LECHOSŁAW,MĘŻCZYZNA,1688,8.060401054613706e-05
SERGIY,MĘŻCZYZNA,1688,8.060401054613706e-05
MARCO,MĘŻCZYZNA,1664,7.945798196017303e-05
HEORHII,MĘŻCZYZNA,1660,7.926697719584568e-05
ARSENII,MĘŻCZYZNA,1639,7.826420218312716e-05
MAKS,MĘŻCZYZNA,1624,7.754793431689964e-05
MAXIM,MĘŻCZYZNA,1623,7.75001831258178e-05
RAFAEL,MĘŻCZYZNA,1606,7.66884128774266e-05
KLEMENS,MĘŻCZYZNA,1594,7.61153985844446e-05
DAVIT,MĘŻCZYZNA,1594,7.61153985844446e-05
OSTAP,MĘŻCZYZNA,1590,7.592439382011725e-05
FEDIR,MĘŻCZYZNA,1589,7.587664262903541e-05
SIMON,MĘŻCZYZNA,1577,7.53036283360534e-05
VINCENT,MĘŻCZYZNA,1566,7.477836523415322e-05
ELIASZ,MĘŻCZYZNA,1525,7.282056639979799e-05
JONATHAN,MĘŻCZYZNA,1492,7.124477709409744e-05
ANATOLI,MĘŻCZYZNA,1483,7.081501637436094e-05
MIHAIL,MĘŻCZYZNA,1466,7.000324612596974e-05
DAMIR,MĘŻCZYZNA,1445,6.900047111325122e-05
LONGIN,MĘŻCZYZNA,1437,6.861846158459654e-05
NICHOLAS,MĘŻCZYZNA,1436,6.85707103935147e-05
VADIM,MĘŻCZYZNA,1435,6.852295920243286e-05
RICHARD,MĘŻCZYZNA,1428,6.818870086486002e-05
BRIAN,MĘŻCZYZNA,1424,6.799769610053268e-05
KASJAN,MĘŻCZYZNA,1419,6.77589401451235e-05
FERDYNAND,MĘŻCZYZNA,1410,6.7329179425387e-05
WAWRZYNIEC,MĘŻCZYZNA,1394,6.656516036807765e-05
HORST,MĘŻCZYZNA,1391,6.642190679483214e-05
JACENTY,MĘŻCZYZNA,1383,6.603989726617746e-05
ANTONIO,MĘŻCZYZNA,1382,6.599214607509562e-05
ERIK,MĘŻCZYZNA,1368,6.532362939994994e-05
VIACHASLAU,MĘŻCZYZNA,1368,6.532362939994994e-05
WILLIAM,MĘŻCZYZNA,1364,6.51326246356226e-05
MYRON,MĘŻCZYZNA,1356,6.475061510696793e-05
ROCH,MĘŻCZYZNA,1342,6.408209843182224e-05
DANIL,MĘŻCZYZNA,1312,6.264956269936719e-05
KOSMA,MĘŻCZYZNA,1309,6.250630912612169e-05
LEONARDO,MĘŻCZYZNA,1294,6.179004125989417e-05
JAROMIR,MĘŻCZYZNA,1281,6.116927577583031e-05
IRAKLI,MĘŻCZYZNA,1276,6.093051982042114e-05
VASILI,MĘŻCZYZNA,1275,6.0882768629339305e-05
DEMIAN,MĘŻCZYZNA,1265,6.040525671852096e-05
LUCAS,MĘŻCZYZNA,1252,5.978449123445711e-05
KYRYL,MĘŻCZYZNA,1250,5.968898885229344e-05
LUKAS,MĘŻCZYZNA,1249,5.96412376612116e-05
YAHOR,MĘŻCZYZNA,1235,5.897272098606592e-05
DIONIZY,MĘŻCZYZNA,1234,5.892496979498408e-05
SERGEI,MĘŻCZYZNA,1232,5.882946741282041e-05
DMITRII,MĘŻCZYZNA,1228,5.8638462648493073e-05
ALEXANDRU,MĘŻCZYZNA,1225,5.849520907524757e-05
ANDREW,MĘŻCZYZNA,1205,5.754018525361088e-05
JAMES,MĘŻCZYZNA,1205,5.754018525361088e-05
ERIC,MĘŻCZYZNA,1203,5.74446828714472e-05
DENNIS,MĘŻCZYZNA,1190,5.682391738738335e-05
KANSTANTSIN,MĘŻCZYZNA,1186,5.6632912623056014e-05
LUKA,MĘŻCZYZNA,1185,5.658516143197418e-05
MARKUS,MĘŻCZYZNA,1179,5.629865428548317e-05
RADOMIR,MĘŻCZYZNA,1173,5.601214713899216e-05
AARON,MĘŻCZYZNA,1168,5.5773391183582986e-05
ŁUCJAN,MĘŻCZYZNA,1165,5.563013761033748e-05
IZYDOR,MĘŻCZYZNA,1158,5.529587927276464e-05
GERHARD,MĘŻCZYZNA,1153,5.505712331735546e-05
ELIGIUSZ,MĘŻCZYZNA,1152,5.500937212627363e-05
AHMED,MĘŻCZYZNA,1152,5.500937212627363e-05
STANISLAU,MĘŻCZYZNA,1134,5.41498506868006e-05
SEMEN,MĘŻCZYZNA,1125,5.372008996706409e-05
FRANK,MĘŻCZYZNA,1123,5.362458758490043e-05
DIEGO,MĘŻCZYZNA,1112,5.309932448300024e-05
ARTHUR,MĘŻCZYZNA,1106,5.281281733650923e-05
EWALD,MĘŻCZYZNA,1101,5.257406138110006e-05
HERMAN,MĘŻCZYZNA,1099,5.247855899893639e-05
LIAM,MĘŻCZYZNA,1096,5.233530542569089e-05
SERGEY,MĘŻCZYZNA,1084,5.176229113270887e-05
OLEKSIY,MĘŻCZYZNA,1084,5.176229113270887e-05
DOMINIC,MĘŻCZYZNA,1074,5.128477922189052e-05
VASILE,MĘŻCZYZNA,1071,5.114152564864502e-05
RUSTAM,MĘŻCZYZNA,1069,5.1046023266481344e-05
JUAN,MĘŻCZYZNA,1065,5.0855018502154006e-05
MEHMET,MĘŻCZYZNA,1060,5.0616262546744834e-05
PLATON,MĘŻCZYZNA,1060,5.0616262546744834e-05
ROGER,MĘŻCZYZNA,1049,5.009099944484465e-05
WIT,MĘŻCZYZNA,1038,4.956573634294447e-05
MARIO,MĘŻCZYZNA,1036,4.94702339607808e-05
AMIR,MĘŻCZYZNA,1033,4.9326980387535296e-05
JOSEPH,MĘŻCZYZNA,1027,4.904047324104429e-05
CARLOS,MĘŻCZYZNA,1018,4.8610712521307774e-05
NICOLAE,MĘŻCZYZNA,1014,4.841970775698044e-05
KIRILL,MĘŻCZYZNA,1010,4.8228702992653097e-05
ILIA,MĘŻCZYZNA,1003,4.789444465508025e-05
RODION,MĘŻCZYZNA,995,4.7512435126425575e-05
JORDAN,MĘŻCZYZNA,993,4.741693274426191e-05
ANATOLIY,MĘŻCZYZNA,988,4.717817678885273e-05
MOHAMMAD,MĘŻCZYZNA,964,4.60321482028887e-05
PASCAL,MĘŻCZYZNA,960,4.584114343856136e-05
MUHAMMAD,MĘŻCZYZNA,956,4.565013867423402e-05
ZBYSŁAW,MĘŻCZYZNA,951,4.541138271882485e-05
IEVGEN,MĘŻCZYZNA,950,4.536363152774301e-05
LUCA,MĘŻCZYZNA,949,4.5315880336661176e-05
JOSE,MĘŻCZYZNA,944,4.5077124381252e-05
LEVAN,MĘŻCZYZNA,941,4.49338708080065e-05
YAUHEN,MĘŻCZYZNA,936,4.469511485259733e-05
BAZYLI,MĘŻCZYZNA,929,4.436085651502448e-05
